dataset,target,split,task,features,head,n_request,n_train,seed,n_test,auc,ap,degenerate,spearman,pearson,r2,rmse
SAbDab_Chen,developability,random,classification,random,linear,25,25,7,603,0.4578032303418951,0.18907133247379918,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,7,603,0.46028942766023123,0.19364618720013735,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,7,603,0.4657419155721684,0.20114601553754335,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,7,603,0.4906896196975413,0.2148872083266218,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,7,603,0.4937244950447516,0.1947275253940906,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,7,603,0.500857309420116,0.20535693824926654,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,7,603,0.48359109769898156,0.1896782674064135,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,25,25,8,603,0.47697266897568674,0.19777867497956225,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,8,603,0.48978087171221846,0.19838246469979764,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,8,603,0.49339871746510755,0.204384847320202,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,8,603,0.49420458832001646,0.2040604443669511,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,8,603,0.5009944789273344,0.2158571284863786,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,8,603,0.5262165220671444,0.22675771509011936,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,8,603,0.504578032303419,0.20741394487535456,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,25,25,9,603,0.5133225883886012,0.20524262025875908,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,9,603,0.5141113130551078,0.20514839988995467,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,9,603,0.49387881074037243,0.19452211682603687,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,9,603,0.5328863893556463,0.2115830622822873,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,9,603,0.49389595692877475,0.2005210240720423,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,9,603,0.4861630259593293,0.19195914802170738,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,9,603,0.5298172216316314,0.22182637569721209,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,25,25,10,603,0.49758238743527317,0.1970795754541035,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,10,603,0.47311477658516515,0.19268931867772598,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,10,603,0.5413394602379892,0.23919277342769601,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,10,603,0.5003086313912417,0.21729936963794727,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,10,603,0.4461781146051233,0.1915519655181525,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,10,603,0.49005521072665553,0.20208371016154641,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,10,603,0.47380062412125784,0.18551073256122663,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,25,25,11,603,0.4917698295668872,0.19397736367340568,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,11,603,0.5107335139398512,0.20902125112405684,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,11,603,0.4720345667158191,0.19673401655569372,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,11,603,0.49212989952333597,0.21501401480650018,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,11,603,0.4995884914783444,0.22035591373050498,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,11,603,0.5023147354343129,0.21936285695625413,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,11,603,0.49202702239292206,0.19777901533643188,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,25,25,12,603,0.5434312952230719,0.22692628269678833,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,12,603,0.4920613147697267,0.21298110295348827,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,12,603,0.5148314529680053,0.21569661166540038,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,12,603,0.5036521381296937,0.20443054623758294,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,12,603,0.4802304447721272,0.20686348502796606,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,12,603,0.48271664209046333,0.2024278973224729,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,12,603,0.49957134528994207,0.20225054816001356,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,25,25,13,603,0.48062480710538047,0.19499440509125548,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,13,603,0.5081958780563081,0.21386198327102923,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,13,603,0.4727032680635095,0.19521102273312516,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,13,603,0.44597236034429544,0.1774211182754061,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,13,603,0.4852028394087994,0.19569628187701046,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,13,603,0.447995610575769,0.2007465869596136,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,13,603,0.47746990843935394,0.20812902159695557,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,25,25,14,603,0.5037550152601077,0.20551928885076753,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,14,603,0.5080072699838826,0.21928753168348186,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,14,603,0.4799561057576901,0.18763337111967407,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,14,603,0.5053667569699256,0.19853190182479546,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,14,603,0.4930900860738658,0.2167249327776258,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,14,603,0.5028805596515895,0.2100928325356954,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,14,603,0.4879119371763657,0.2087072902397615,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,25,25,15,603,0.46339288776105075,0.1810261235704942,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,15,603,0.4649017523404547,0.18251474321721484,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,15,603,0.504303693288982,0.1984908167061762,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,15,603,0.48539144748122487,0.19444939830731467,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,15,603,0.46035801241384045,0.18068441404372032,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,15,603,0.4891293165529303,0.1907514695107403,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,15,603,0.4963993004355132,0.21808405496862077,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,25,25,16,603,0.520421110387161,0.21945178741865073,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,16,603,0.5155858852577072,0.2216455068716227,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,16,603,0.49240423853777304,0.20004230293415884,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,16,603,0.5043894242309935,0.204017008525136,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,16,603,0.5428311786289908,0.23018502149842635,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,16,603,0.5070813758101576,0.20104701135552194,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,16,603,0.49339871746510755,0.19842267950473197,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,25,25,17,603,0.49708514797160597,0.19769276410895745,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,17,603,0.5029491444051988,0.20164261622457905,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,17,603,0.491752683378485,0.20323324244131363,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,17,603,0.4776070779465725,0.19721903316397077,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,17,603,0.44758410205411336,0.1869837734775518,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,17,603,0.5145399677651659,0.22456517972273388,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,17,603,0.4726175371214979,0.21751707743303003,False,,,,
