dataset,target,cluster,random_,gap
SAbDab_Chen,developability,0.7986581275521925,0.8943353280065841,0.09567720045439165
TAP,PPC,0.3700066239700853,0.4160439720679019,0.046037348097816566
TAP,CDR_Length,0.9940882723350644,0.9945994863418737,0.000511214006809313
TAP,SFvCSP,0.8228397706428929,0.8149901698452305,-0.007849600797662393
TAP,PSH,0.540874563863792,0.5275171866737175,-0.01335737719007446
TAP,PNC,0.6006334999456634,0.5648297970912488,-0.03580370285441459
